"Song ID","Syllable ID","Latitude","longitude","Start _freq","End_freq","Average_freq","Highest_freq","Lowest_freq","Bandwidth","Duration","Excursion","Average_slope","Concavity"
"M1 Apr17 s4","s14",21.3337,-158.07645,2156.25,2718.75,2510.08064516,2718.75,2156.25,562.5,0.16,4.32130929352,3.515625,0
"M1 Apr17 s4","s15",21.3337,-158.07645,3656.25,2437.5,3552.63157895,4500,2437.5,2062.5,0.197333333333,24.5667568093,24.2293074324,2
"M1 Apr17 s4","s16",21.3337,-158.07645,2250,3000,2828.125,3000,2250,750,0.0906666666667,12.7785843543,12.4080882353,0
"M1 Apr17 s4","s17",21.3337,-158.07645,3656.25,3187.5,3122.84482759,3843.75,2343.75,1500,0.176,37.0390186393,35.2608816964,6
"M1 Apr17 s4","s18",21.3337,-158.07645,2531.25,3000,2970.703125,3468.75,2531.25,937.5,0.0906666666667,32.1863136901,29.8828125,4
"M1 Apr17 s4","s19",21.3337,-158.07645,4687.5,3000,3494.08783784,4687.5,2906.25,1781.25,0.192,31.6213309981,31.25,5
"M1 Apr17 s4","s20",21.3337,-158.07645,3375,3281.25,3039.58333333,3375,2343.75,1031.25,0.245333333333,15.3726356136,12.7840909091,3
"M1 Apr17 s5","s1",21.3337,-158.07645,4031.25,3187.5,3687.5,4031.25,3187.5,843.75,0.032,26.387719821,26.3671875,0
"M1 Apr17 s5","s2",21.3337,-158.07645,4125,4312.5,4171.875,4312.5,4125,187.5,0.016,12.3901564489,11.71875,0
"M1 Apr17 s5","s3",21.3337,-158.07645,4031.25,4031.25,3694.44444444,4031.25,3281.25,750,0.144,10.9476420785,10.8173076923,1
"M1 Apr17 s5","s4",21.3337,-158.07645,5437.5,4031.25,4531.25,5437.5,3843.75,1593.75,0.064,36.7199848149,37.5532670455,2
"M1 Apr17 s5","s5",21.3337,-158.07645,4687.5,3562.5,4125,4687.5,3562.5,1125,0.0213333333333,53.2367453171,35.15625,0
"M1 Apr17 s5","s6",21.3337,-158.07645,3656.25,3187.5,3431.25,3656.25,3187.5,468.75,0.0213333333333,22.478581244,21.97265625,0
"M1 Apr17 s5","s7",21.3337,-158.07645,4593.75,4125,4343.75,4593.75,4031.25,562.5,0.048,29.4232550331,28.564453125,2
"M1 Apr17 s5","s8",21.3337,-158.07645,3093.75,3000,2976.5625,3093.75,2906.25,187.5,0.0373333333333,8.11709134326,7.53348214286,0
"M1 Apr17 s5","s9",21.3337,-158.07645,3937.5,2250,3468.75,4687.5,2250,2437.5,0.149333333333,27.9947272348,26.71875,1
"M1 Apr17 s5","s10",21.3337,-158.07645,3468.75,3281.25,3357.95454545,3468.75,3187.5,281.25,0.112,7.41748212208,6.69642857143,0
"M1 Apr17 s5","s11",21.3337,-158.07645,2718.75,2718.75,2882.8125,3093.75,2718.75,375,0.0586666666667,16.3579630828,15.9801136364,1
"M1 Apr17 s5","s12",21.3337,-158.07645,4500,2625,3395.27027027,4500,2531.25,1968.75,0.197333333333,15.5440553689,15.13671875,0
"M1 Apr17 s5","s13",21.3337,-158.07645,3468.75,2625,2981.25,3468.75,2625,843.75,0.0213333333333,39.5667739781,39.55078125,0
"M1 Apr17 s5","s14",21.3337,-158.07645,2343.75,2625,2527.17391304,2718.75,2343.75,375,0.117333333333,4.77421510627,3.99502840909,0
"M1 Apr17 s5","s15",21.3337,-158.07645,3093.75,2531.25,3714.15441176,4500,2437.5,2062.5,0.181333333333,26.1603756471,26.3671875,3
"M1 Apr17 s5","s16",21.3337,-158.07645,2625,3000,2889.20454545,3000,2625,375,0.064,9.15541832225,9.375,0
"M1 Apr17 s5","s17",21.3337,-158.07645,3656.25,3187.5,3145.83333333,3656.25,2625,1031.25,0.149333333333,17.4606052196,18.2542067308,2
"M1 Apr17 s5","s18",21.3337,-158.07645,2625,3281.25,3133.92857143,3562.5,2625,937.5,0.08,31.6653051282,33.8040865385,4
"M1 Apr17 s5","s19",21.3337,-158.07645,4687.5,3093.75,3447.11538462,4687.5,2625,2062.5,0.165333333333,51.7123510634,54.84375,8
"M1 Apr17 s5","s20",21.3337,-158.07645,3281.25,3281.25,3246.09375,3375,3093.75,281.25,0.0426666666667,13.340533657,13.8113839286,0
"M1 Apr17 s5","s21",21.3337,-158.07645,3187.5,3281.25,3003.125,3375,2531.25,843.75,0.16,12.6901352969,12.4259159483,1
"M1 Apr17 s6","s1",21.3337,-158.07645,4031.25,3093.75,3583.33333333,4031.25,3093.75,937.5,0.0426666666667,21.9975271874,21.97265625,0
"M1 Apr17 s6","s2",21.3337,-158.07645,4968.75,4406.25,4389.20454545,4968.75,4125,843.75,0.0533333333333,38.7876046054,38.671875,3
"M1 Apr17 s6","s3",21.3337,-158.07645,4687.5,3843.75,4095.703125,4687.5,3093.75,1593.75,0.08,36.6736181791,36.328125,1
"M1 Apr17 s6","s4",21.3337,-158.07645,3843.75,3187.5,3668.75,4125,3187.5,937.5,0.165333333333,20.245853133,18.7904094828,5
"M1 Apr17 s6","s5",21.3337,-158.07645,4406.25,4031.25,3895.83333333,4406.25,3375,1031.25,0.144,23.713629319,24.0009014423,3
"M1 Apr17 s6","s6",21.3337,-158.07645,2906.25,3281.25,3290.86538462,3656.25,2812.5,843.75,0.202666666667,8.04286736074,7.40131578947,1
"M1 Apr17 s6","s7",21.3337,-158.07645,4500,4218.75,4250,4500,4125,375,0.0426666666667,15.6504002106,15.380859375,0
"M1 Apr17 s6","s8",21.3337,-158.07645,3000,2812.5,3337.5,3937.5,2812.5,1125,0.0213333333333,96.9346645474,96.6796875,1
"M1 Apr17 s6","s9",21.3337,-158.07645,3656.25,2625,3231.61764706,4500,2343.75,2156.25,0.293333333333,30.0671226655,31.93359375,9
"M1 Apr17 s6","s10",21.3337,-158.07645,3468.75,3187.5,3318.75,3562.5,2812.5,750,0.106666666667,22.2871065994,21.2787828947,3
"M1 Apr17 s6","s11",21.3337,-158.07645,2906.25,2812.5,2829.54545455,3000,2625,375,0.0533333333333,12.7203201685,12.3046875,0
"M1 Apr17 s6","s12",21.3337,-158.07645,4500,2531.25,3372.46621622,4500,2531.25,1968.75,0.192,20.3415354341,20.01953125,4
"M1 Apr17 s6","s13",21.3337,-158.07645,3093.75,2625,2910,3187.5,2437.5,750,0.128,10.1556627238,9.521484375,1
"M1 Apr17 s6","s14",21.3337,-158.07645,3093.75,2625,2812.5,3281.25,2343.75,937.5,0.0426666666667,32.9761619122,32.958984375,1
"M1 Apr17 s6","s15",21.3337,-158.07645,2156.25,2718.75,2525,2718.75,2156.25,562.5,0.154666666667,5.58111626692,4.84913793103,0
"M1 Apr17 s6","s16",21.3337,-158.07645,3093.75,2625,3604.44078947,4500,2437.5,2062.5,0.197333333333,25.4911723222,25.1794763514,2
"M1 Apr17 s6","s17",21.3337,-158.07645,2437.5,2906.25,2804.6875,3000,2437.5,562.5,0.0586666666667,11.5678022976,11.1860795455,0
"M1 Apr17 s6","s18",21.3337,-158.07645,2812.5,3093.75,3083.70535714,3750,2437.5,1312.5,0.144,23.313715425,22.7864583333,2
"M1 Apr17 s6","s19",21.3337,-158.07645,2437.5,3000,3005.20833333,3843.75,2437.5,1406.25,0.0906666666667,43.6759634403,43.4283088235,3
"M1 Apr17 s6","s20",21.3337,-158.07645,4406.25,3000,3366.72794118,4406.25,2812.5,1593.75,0.186666666667,28.9537572737,30.3622159091,8
"M1 Apr17 s6","s21",21.3337,-158.07645,3281.25,3187.5,2992.96875,3375,2250,1125,0.234666666667,17.6673938459,13.5216346154,3
"M1 Apr17 s7","s1",21.3337,-158.07645,4031.25,3000,3494.31818182,4031.25,3000,1031.25,0.0533333333333,19.4586763966,19.3359375,0
"M1 Apr17 s7","s2",21.3337,-158.07645,4687.5,4593.75,4333.33333333,4687.5,4125,562.5,0.0586666666667,24.0916930366,27.4658203125,1
"M1 Apr17 s7","s3",21.3337,-158.07645,4125,3750,3796.875,4125,3187.5,937.5,0.0693333333333,24.6627407394,24.3389423077,1
"M1 Apr17 s7","s4",21.3337,-158.07645,3937.5,3093.75,3542.61363636,4125,2812.5,1312.5,0.181333333333,23.6034852371,24.4445800781,5
"M1 Apr17 s7","s5",21.3337,-158.07645,4406.25,3937.5,3850,4406.25,3468.75,937.5,0.16,17.3729880736,16.6689116379,5
"M1 Apr17 s7","s6",21.3337,-158.07645,2906.25,3281.25,3285.51136364,3656.25,2906.25,750,0.229333333333,12.0367060664,11.4462209302,1
"M1 Apr17 s7","s7",21.3337,-158.07645,4500,3187.5,3960.9375,4500,2718.75,1781.25,0.117333333333,48.1459238299,49.8046875,3
"M1 Apr17 s7","s8",21.3337,-158.07645,3187.5,2625,3219.82758621,4781.25,2156.25,2625,0.309333333333,37.9186407529,37.1607730263,14
"M1 Apr17 s7","s9",21.3337,-158.07645,3468.75,5437.5,3187.5,5437.5,2156.25,3281.25,0.298666666667,38.9276427361,39.1512784091,7
"M1 Apr17 s7","s10",21.3337,-158.07645,4687.5,2437.5,3050.30487805,4687.5,2343.75,2343.75,0.442666666667,23.7083571386,23.5821759259,10
"M1 Apr17 s7","s11",21.3337,-158.07645,3093.75,2718.75,2661.76470588,5531.25,2062.5,3468.75,0.304,34.4082875757,29.6484375,8
"M1 Apr17 s7","s12",21.3337,-158.07645,3187.5,2812.5,3289.77272727,4500,2343.75,2156.25,0.309333333333,18.5824935643,18.9887152778,4
"M1 Apr17 s7","s13",21.3337,-158.07645,3656.25,3000,3025.56818182,3656.25,2343.75,1312.5,0.186666666667,33.1095883216,35.15625,6
"M1 Apr17 s7","s14",21.3337,-158.07645,2343.75,3187.5,3056.25,3843.75,2343.75,1500,0.101333333333,45.4013643398,45.3330592105,5
"M1 Apr17 s7","s15",21.3337,-158.07645,3187.5,3093.75,3537.34756098,5156.25,3000,2156.25,0.213333333333,44.5744168667,44.384765625,7
"M1 Apr17 s7","s16",21.3337,-158.07645,3375,3281.25,3029.296875,3562.5,2250,1312.5,0.250666666667,20.9674623221,20.5701462766,3
"M1 Apr17 s8","s1",21.3337,-158.07645,4125,3281.25,3683.03571429,4125,3281.25,843.75,0.0373333333333,22.6248101473,23.4375,0
"M1 Apr17 s8","s2",21.3337,-158.07645,5062.5,4406.25,4500,5062.5,4218.75,843.75,0.0533333333333,23.073104649,25.634765625,1
"M1 Apr17 s8","s3",21.3337,-158.07645,4500,4031.25,3686.49193548,4500,3187.5,1312.5,0.16,15.094719993,14.6484375,1
"M1 Apr17 s8","s4",21.3337,-158.07645,5343.75,4031.25,4437.5,5437.5,3937.5,1500,0.08,23.7849675893,23.2282366071,0
"M1 Apr17 s8","s5",21.3337,-158.07645,4593.75,2906.25,3622.76785714,4593.75,2906.25,1687.5,0.0693333333333,32.7736459244,32.4519230769,2
"M1 Apr17 s8","s6",21.3337,-158.07645,4312.5,4312.5,4296.875,4312.5,4218.75,93.75,0.032,6.5355154892,7.03125,0
"M1 Apr17 s8","s7",21.3337,-158.07645,3375,3093.75,3179.6875,3562.5,3000,562.5,0.0693333333333,12.6435830499,10.1207386364,0
"M1 Apr17 s8","s8",21.3337,-158.07645,3000,2812.5,3369.31818182,4500,2437.5,2062.5,0.224,24.5405068713,28.1066894531,4
"M1 Apr17 s8","s9",21.3337,-158.07645,3375,3375,3365.13157895,3468.75,2906.25,562.5,0.096,14.3454896267,13.671875,1
"M1 Apr17 s8","s10",21.3337,-158.07645,3000,3000,2957.38636364,3093.75,2812.5,281.25,0.0533333333333,11.0596655217,10.546875,0
"M1 Apr17 s8","s11",21.3337,-158.07645,4593.75,2718.75,3435.81081081,4593.75,2718.75,1875,0.202666666667,17.0872778274,17.578125,2
"M1 Apr17 s8","s12",21.3337,-158.07645,3750,2812.5,3120.53571429,3750,2625,1125,0.032,41.0298420081,41.015625,0
"M1 Apr17 s8","s13",21.3337,-158.07645,2156.25,2718.75,2557.11206897,2718.75,2156.25,562.5,0.154666666667,4.43583720019,3.76674107143,0
"M1 Apr17 s8","s14",21.3337,-158.07645,3843.75,2437.5,3596.35416667,4500,2343.75,2156.25,0.186666666667,21.9520372425,21.5959821429,1
"M1 Apr17 s8","s15",21.3337,-158.07645,2437.5,3000,2884.19117647,3000,2437.5,562.5,0.096,8.33530495631,8.056640625,0
"M1 Apr17 s9","s1",21.3337,-158.07645,4031.25,4125,4050,4125,3937.5,187.5,0.032,9.00756341069,10.25390625,0
"M1 Apr17 s9","s2",21.3337,-158.07645,4218.75,3750,3993.75,4218.75,3656.25,562.5,0.048,17.8203482705,17.578125,0
"M1 Apr17 s9","s3",21.3337,-158.07645,3843.75,3093.75,3660,4125,3000,1125,0.149333333333,25.3092040494,24.5361328125,5
"M1 Apr17 s9","s4",21.3337,-158.07645,4312.5,3843.75,3793.26923077,4312.5,3281.25,1031.25,0.133333333333,23.5385414446,23.203125,3
"M1 Apr17 s9","s5",21.3337,-158.07645,2906.25,3375,3314.90384615,3656.25,2906.25,750,0.208,10.0648485324,9.02035361842,2
"M1 Apr17 s9","s6",21.3337,-158.07645,4406.25,4312.5,4218.75,4406.25,4031.25,375,0.032,20.6950069166,20.5078125,1
"M1 Apr17 s9","s7",21.3337,-158.07645,3281.25,2906.25,3492.1875,4031.25,2906.25,1125,0.016,117.192898867,117.1875,1
"M1 Apr17 s9","s8",21.3337,-158.07645,3093.75,3000,2940.34090909,3093.75,2906.25,187.5,0.0533333333333,5.98196394028,5.2734375,0
"M1 Apr17 s9","s9",21.3337,-158.07645,3375,2343.75,3378.125,4593.75,2343.75,2250,0.165333333333,49.5077863137,50.0067349138,11
"M1 Apr17 s9","s10",21.3337,-158.07645,3468.75,3281.25,3236.84210526,3468.75,2906.25,562.5,0.101333333333,26.0319207546,26.85546875,3
"M1 Apr17 s9","s11",21.3337,-158.07645,3093.75,2718.75,2847.65625,3093.75,2625,468.75,0.0373333333333,20.2524463662,20.0892857143,0
"M1 Apr17 s9","s12",21.3337,-158.07645,4406.25,2437.5,3427.38970588,4406.25,2437.5,1968.75,0.181333333333,13.3802013813,13.3167613636,0
"M1 Apr17 s9","s13",21.3337,-158.07645,3375,2812.5,2964.84375,3375,2625,750,0.0426666666667,22.1236780219,23.8560267857,0
"M1 Apr17 s9","s14",21.3337,-158.07645,2343.75,2718.75,2567.30769231,2718.75,2343.75,375,0.133333333333,4.98557115222,4.21875,0
"M1 Apr17 s9","s15",21.3337,-158.07645,3375,2531.25,3632.8125,4406.25,2437.5,1968.75,0.186666666667,20.9211256568,20.5915178571,1
"M1 Apr17 s9","s16",21.3337,-158.07645,2531.25,3000,2906.25,3093.75,2531.25,562.5,0.064,13.4549098507,13.18359375,0
"M1 Apr17 s9","s17",21.3337,-158.07645,3562.5,3093.75,3142.85714286,3562.5,2531.25,1031.25,0.133333333333,20.8024698368,23.14453125,2
"M1 Apr17 s9","s18",21.3337,-158.07645,2531.25,2906.25,2828.125,3281.25,2531.25,750,0.0266666666667,42.39792472,42.1875,1
"M1 Apr17 s9","s19",21.3337,-158.07645,3281.25,3000,3046.875,3281.25,3000,281.25,0.0426666666667,7.34712697678,7.53348214286,0
"M1 Apr17 s9","s20",21.3337,-158.07645,4781.25,3000,3454.96323529,4875,2718.75,2156.25,0.186666666667,55.0400594991,55.6640625,10
"M1 Apr17 s9","s21",21.3337,-158.07645,3375,3281.25,3337.5,3375,3281.25,93.75,0.032,9.00756341069,10.25390625,0
"M1 Apr17 s9","s22",21.3337,-158.07645,3093.75,3375,3070.3125,3656.25,2531.25,1125,0.170666666667,17.5092541038,15.3099798387,2
"M1 Apr17 s10","s1",21.3337,-158.07645,3937.5,3281.25,3562.5,3937.5,3281.25,656.25,0.0266666666667,24.8254835822,24.609375,0
"M1 Apr17 s10","s2",21.3337,-158.07645,4593.75,4218.75,4218.75,4593.75,4125,468.75,0.048,19.664468611,17.578125,0
"M1 Apr17 s10","s3",21.3337,-158.07645,4687.5,3843.75,4085.9375,4687.5,3843.75,843.75,0.064,16.7049840614,17.578125,0
